Id,Prediction
activate.v.bnc.00008457,38203
activate.v.bnc.00061340,38203
activate.v.bnc.00061975,38204
activate.v.bnc.00062654,38205
activate.v.bnc.00066993,38204
activate.v.bnc.00067831,38203
activate.v.bnc.00077466,38203
activate.v.bnc.00116491,38205
activate.v.bnc.00118803,38204
activate.v.bnc.00134704,38204
activate.v.bnc.00146646,38203
activate.v.bnc.00195922,38203
activate.v.bnc.00211208,38204
activate.v.bnc.00358742,38204
activate.v.bnc.00379850,38204
activate.v.bnc.00407408,38205
activate.v.bnc.00432864,38204
activate.v.bnc.00478509,38203
activate.v.bnc.00483107,38204
activate.v.bnc.00485301,38205
activate.v.bnc.00497405,38205
activate.v.bnc.00504851,38205
activate.v.bnc.00511085,38204
activate.v.bnc.00602702,38204
activate.v.bnc.00617659,38205
activate.v.bnc.00617923,38204
activate.v.bnc.00618368,38203
activate.v.bnc.00618486,38203
activate.v.bnc.00619002,38205
activate.v.bnc.00619115,38205
activate.v.bnc.00651065,38205
activate.v.bnc.00660098,38203
activate.v.bnc.00660107,38205
activate.v.bnc.00662228,38205
activate.v.bnc.00709500,38204
activate.v.bnc.00709669,38205
activate.v.bnc.00765981,38203
activate.v.bnc.00795193,38204
activate.v.bnc.00852485,38204
activate.v.bnc.00879197,38204
activate.v.bnc.00928589,38203
activate.v.bnc.00931288,38204
activate.v.bnc.00931305,38205
activate.v.bnc.00935132,38203
activate.v.bnc.00941745,38203
activate.v.bnc.00941762,38204
activate.v.bnc.00972304,38203
activate.v.bnc.01000478,38205
activate.v.bnc.01000907,38205
activate.v.bnc.01000930,38205
activate.v.bnc.01000948,38203
activate.v.bnc.01008776,38205
activate.v.bnc.01099968,38204
activate.v.bnc.01151611,38203
activate.v.bnc.01161413,38203
activate.v.bnc.01199730,38203
activate.v.bnc.01210430,38205
activate.v.bnc.01293592,38203
activate.v.bnc.01307934,38203
activate.v.bnc.01316226,38203
activate.v.bnc.01370627,38205
activate.v.bnc.01370988,38203
activate.v.bnc.01372119,38204
activate.v.bnc.01433009,38203
activate.v.bnc.01433033,38205
activate.v.bnc.01515309,38205
activate.v.bnc.01558945,38205
activate.v.bnc.01603660,38205
activate.v.bnc.01645515,38203
activate.v.bnc.01658971,38205
activate.v.bnc.01703041,38205
activate.v.bnc.01731521,38203
activate.v.bnc.01772576,38204
activate.v.bnc.01819420,38205
activate.v.bnc.01819430,38204
activate.v.bnc.01819948,38204
activate.v.bnc.01819958,38204
activate.v.bnc.01843614,38203
activate.v.bnc.01849841,38204
activate.v.bnc.01859841,38203
activate.v.bnc.01866523,38204
activate.v.bnc.01870622,38205
activate.v.bnc.01900108,38204
activate.v.bnc.01918802,38204
activate.v.bnc.01918884,38204
activate.v.bnc.01918900,38204
activate.v.bnc.01919636,38203
activate.v.bnc.01919640,38205
activate.v.bnc.01919650,38204
activate.v.bnc.01919878,38203
activate.v.bnc.01920013,38203
activate.v.bnc.01926467,38203
activate.v.bnc.01939783,38204
activate.v.bnc.01940888,38204
activate.v.bnc.01940889,38204
activate.v.bnc.01941340,38203
activate.v.bnc.01941663,38204
activate.v.bnc.02009262,38205
activate.v.bnc.02009283,38204
activate.v.bnc.02009815,38203
activate.v.bnc.02011547,38204
activate.v.bnc.02012232,38203
activate.v.bnc.02014050,38203
activate.v.bnc.02014051,38204
activate.v.bnc.02014927,38203
activate.v.bnc.02015267,38205
activate.v.bnc.02015287,38204
activate.v.bnc.02015288,38204
activate.v.bnc.02015371,38203
activate.v.bnc.02015429,38203
activate.v.bnc.02015535,38205
activate.v.bnc.02015557,38203
activate.v.bnc.02015903,38203
activate.v.bnc.02016514,38203
add.v.bnc.00001824,42602
add.v.bnc.00002611,42606
add.v.bnc.00002917,42604
add.v.bnc.00004262,42606
add.v.bnc.00004735,42604
add.v.bnc.00005179,42606
add.v.bnc.00006983,42602
add.v.bnc.00008300,42602
add.v.bnc.00008597,42604
add.v.bnc.00009012,42606
add.v.bnc.00009472,42602
add.v.bnc.00011574,42606
add.v.bnc.00011744,42606
add.v.bnc.00012663,42604
add.v.bnc.00012804,42604
add.v.bnc.00012806,42606
add.v.bnc.00013747,42604
add.v.bnc.00014436,42602
add.v.bnc.00014804,42604
add.v.bnc.00016296,42602
add.v.bnc.00019370,42606
add.v.bnc.00020905,42604
add.v.bnc.00021509,42606
add.v.bnc.00022949,42606
add.v.bnc.00023059,42602
add.v.bnc.00023202,42602
add.v.bnc.00023698,42602
add.v.bnc.00024241,42602
add.v.bnc.00024249,42606
add.v.bnc.00024251,42606
add.v.bnc.00024669,42606
add.v.bnc.00024931,42602
add.v.bnc.00029329,42606
add.v.bnc.00034554,42606
add.v.bnc.00035221,42606
add.v.bnc.00035315,42602
add.v.bnc.00036468,42606
add.v.bnc.00037216,42604
add.v.bnc.00038660,42602
add.v.bnc.00038697,42602
add.v.bnc.00038717,42602
add.v.bnc.00039052,42604
add.v.bnc.00039083,42606
add.v.bnc.00039094,42602
add.v.bnc.00039853,42604
add.v.bnc.00040078,42604
add.v.bnc.00040130,42606
add.v.bnc.00041478,42602
add.v.bnc.00042460,42606
add.v.bnc.00046919,42606
add.v.bnc.00048513,42604
add.v.bnc.00048568,42604
add.v.bnc.00049054,42604
add.v.bnc.00050313,42604
add.v.bnc.00050524,42604
add.v.bnc.00052523,42604
add.v.bnc.00054641,42604
add.v.bnc.00056244,42606
add.v.bnc.00056593,42602
add.v.bnc.00056919,42604
add.v.bnc.00057114,42602
add.v.bnc.00057655,42606
add.v.bnc.00057745,42606
add.v.bnc.00057772,42606
add.v.bnc.00057776,42604
add.v.bnc.00057780,42604
add.v.bnc.00057781,42602
add.v.bnc.00057828,42604
add.v.bnc.00057856,42602
add.v.bnc.00058022,42606
add.v.bnc.00058543,42602
add.v.bnc.00058549,42604
add.v.bnc.00058584,42604
add.v.bnc.00058671,42604
add.v.bnc.00058919,42602
add.v.bnc.00061246,42606
add.v.bnc.00061424,42602
add.v.bnc.00061492,42602
add.v.bnc.00061633,42604
add.v.bnc.00063540,42606
add.v.bnc.00063657,42602
add.v.bnc.00063660,42602
add.v.bnc.00064491,42602
add.v.bnc.00064913,42604
add.v.bnc.00065366,42604
add.v.bnc.00065617,42606
add.v.bnc.00065910,42606
add.v.bnc.00065937,42604
add.v.bnc.00067130,42606
